authors name
"B.B.K. Huat, Faisal Haji Ali, Husaini Omar, Harwant Singh"
"Iacint Manoliu (Editor), Nicoleta Radulescu (Editor)"
Marcel van der Perk
"Jean-Philippe Ansermet, Sylvain D. Brechet"
"Yunus A. Çengel, Michael A. Boles"
Robert F. Sekerka
Don S. Lemons
R. Shankar
"J.M. Smith, Hendrick Van Ness, Michael Abbott, Mark Swihart"
Daniel C. Mattis
Arieh Ben-Naim
"Yunus A. Çengel, Michael A. Boles"
Daniel V. Schroeder
Kerson Huang
"Yunus A. Çengel, John M. Cimbala, Robert H. Turner"
Mike Pauken
"The Staff of REA, Ralph Pike"
Peter Atkins
Wolfgang Nolting (auth.)
"Robert E Paull, Odilo Duarte"
"G.L. Creasy, L.L. Creasy"
"Andrew D. Noble, Sawaeng Ruaysoongnern (auth.), Geoffrey R. Dixon, Emma L. Tilston (eds.)"
Md. Asaduzzaman
"C F Quiros, V E Rubatzky, P W Simon"
N  K Fageria
"C. Wayne Smith, Robert H. Dilday"
"Arn T. Danforth, Arn T. Danforth"
"Robert E Paull, Odilo Duarte"
"Freddie R. Lamm, James E. Ayars and Francis S. Nakayama (Eds.)"
"Nand Kumar Fageria, Zhenli He, Virupax C. Baligar"
"Committee on the Use of Treated Municipal Wastewater Effluents and Sludge in the Production of Crops for Human Consumption, National Research Council"
"Mirza Hasanuzzaman, Vasileios Fotopoulos"
"Prabhat Kumar Srivastava (editor), Vijay Pratap Singh (editor), Anita Singh (editor), Durgesh Kumar Tripathi (editor), Samiksha Singh (editor)"
Institution of Mechanical Engineers (IMechE) (Auth.)
Nikolay Ivanov Kolev (auth.)
Institution of Mechanical Engineers (IMechE)
"Jozef Jarosinski, Bernard Veyssiere"
Adler U.
Adler U.
Adler U.
Institution of Mechanical Engineers (IMechE) (Auth.)
Norbert Peters
Gregor Hoogers
Adler U.
"John J. Uicker, Jr., Gordon R. Pennock, Joseph E. Shigley"
Jun Ni
Peter Marti
Anadi Jiban Das
Gordon R. Pennock & Joseph E. Shigley John J. Uicker
"Surya Patnaik, Dale Hopkins"
